분류,메시지
정상메일,"쥬롱 포인트까지 가자, 완전 대박.. 지금은 부기스랑 그레이트 월드에서만 가능한 뷔페래… 거기 영화관에 아모레도 있다던데?"
정상메일,알겠어… 그냥 너랑 장난친 거야…
스팸메일,"FA컵 결승 티켓 주간 이벤트에 무료 응모! 문제에 답하고 참여하세요(문자 요금 적용). 약관 적용, 18세 이상, 08452810075로 연락."
정상메일,그렇게 일찍 말하진 말지… 이미 보고 나서 말하네…
정상메일,"아니, 걔가 USF 다니진 않는 것 같아. 근데 여기 근처에 살긴 해."
스팸메일,"무료문자: 자기야, 3주 됐네… 아직도 할 마음 있어? 회신 OK! XxX 전송 표준요금, 수신 £1.50."
정상메일,내 친형조차 나랑 말하기 싫어해. 사람들 나를 에이즈 환자 취급해.
정상메일,요청하신 ‘Melle Melle(…)’를 통화연결음으로 설정했습니다. *9를 눌러 친구의 컬러튠을 복사하세요.
스팸메일,"당첨자님!! 소중한 고객님으로 선정되셨습니다—£1500 상금과 기타 상품을 수령하려면 09061701461로 지금 전화, 코드 KL341. 12시간 이내 유효."
스팸메일,휴대폰 11개월 이상 사용하셨나요? 최신 카메라폰 무료 업그레이드 자격! The Mobile Update Co 08002986030로 무료 통화.
정상메일,"나 곧 집에 갈 거고, 오늘 밤은 이 얘기 더 하고 싶지 않아. 오늘 많이 울었어."
스팸메일,"현금 당첨 기회 6번! £100~£20,000까지. 87575로 문자. 하루 150p, 6일, 16세 이상. 자세한 내용은 HL 회신."
스팸메일,"긴급! 우리 클럽 1주 무료 멤버십에 당첨되셨습니다. 81010으로 CLAIM 전송. 약관은 dbuk.net 참조, LCCLTD POBOX 4403."
정상메일,너에게 고맙다는 말을 뭐라 해야 할지 계속 고민했어. 약속 지킬게. 너는 늘 멋졌고 내게 축복이었어.
정상메일,일요일에 윌이랑 데이트 잡혔어!!
스팸메일,XXX모바일무비클럽: 크레딧 사용하려면 WAP 링크를 클릭하세요. 지금 시청하려면 여기 클릭 >> (링크)
정상메일,오키… 나 여기서 보고 있어 :)
정상메일,"야, 걔 이름 철자 기억나? 응, 알아. 걔 너무 장난꾸러기라 나 완전 녹았어."
정상메일,네가 그렇게 느낀다면 어쩔 수 없지. 그렇게 해야겠네.
스팸메일,"잉글랜드 vs 마케도니아—골/팀 뉴스 놓치지 마세요. 87077로 문자. 웨일스, 스코틀랜드도 가능. 요금 £1.20."
정상메일,진짜로 걔 이름 철자가 그거야?
정상메일,두 달 동안 해보려고… 하하 농담이야.
정상메일,먼저 결제부터 하자… 그럼 물건은 언제 들어와?
정상메일,점심 먹고 바로 내려갈게. 대략 3시쯤? 너는 벌써 점심 먹었어?
정상메일,으아… 알겠어. 더 빨리 만나는 건 진짜 불가능해?
정상메일,억지로 한 조각 먹었어. 진짜 입맛 없네. 아빠가 걱정하시네. 내가 피자를 거절하면 아픈 줄 아시거든. ㅋㅋ
정상메일,ㅋㅋ 너는 진짜 설득을 잘한다니까.
정상메일,버스 탔어? 계란 부치고 있어? 엄마 남은 반찬 먹었어? 내 마음 전해지는 거 느껴져?
정상메일,나 돌아왔어. 지금 차에 짐 싣는 중이야. 자리 있으면 알려줄게.
정상메일,아… 일. 어렴풋이 기억나네! 어떤 느낌이더라? ㅋㅋ
정상메일,"잠깐, 아직도 잘 모르겠어. 너 비꼰 거야? 그래서 X가 우리랑 같이 살기 싫다는 거야?"
정상메일,"응, 걔 2시에 들어왔고 엄청 미안해하더라. 2시까지 뻗어 있었대… 더는 말 안 할래! 나도 나쁘지 않아. 너는?"
정상메일,"오케이, 너에 대해서 뭐든지 말해줘."
정상메일,너 집안일 그렇게 많이 해서 쓰러질까 봐 걱정됐지? 얼른 차 한 잔 해.
스팸메일,Ringtone UK 구독 감사합니다. 휴대폰으로 확인 문자가 갑니다. YES 또는 NO로 회신하세요. NO면 요금 청구되지 않습니다.
정상메일,"응… 집에 가서 시간표 보고 문자할게. 쉬후이도 5월 2일에 배운대, 근데 수업이 아침 8시래."
정상메일,"앗, 룸메 끝나면 알려줄게."
정상메일,내 차에 B 글자가 보이네.
정상메일,난 다 좋아… 네가 정해.
정상메일,안녕! 잘 지냈어? 토요일은 어땠어? 내일 뭐라도 할까 해서… 내가 들이댄 건 아니고!
정상메일,와츠로 진행해줘. 그냥 확실히 하고 싶었어. 주말 잘 보내. 아비올라.
정상메일,"말 안 했나? 너를 원하고, 필요하고, 무엇보다 사랑해, 나의 아라비안 준마… 음… 맛있다…"
스팸메일,07732584351 - 로저 번스 - 부재중 안내: 무료 캠코더 수령을 위해 지금 08000930705로 전화하세요. 내일 배송.
정상메일,너 요즘 누구 만나?
정상메일,좋네! 네 남자친구… 듬직한 스타일 좋아하길. 난 <번호>인치야…
정상메일,통화 없음… 문자 없음… 부재중 없음.
정상메일,나이지리아에서 B형 간염 예방접종 안 맞았어?
정상메일,"좋아, 그럼 다른 일은?"
정상메일,"응, 아마도. 타일러가 못하면 내가 좀 알아볼게."
정상메일,내가 얼마나 고집 센지 몰라. 병원 안 간다고. 마크한테도 약한 사람 아니라 했어. 병원은 약한 사람들 가는 곳이야.
정상메일,첫날 수업에서 나 보고 무슨 생각했어?
정상메일,"보통 1그램이 <번호> 정도고, 하프 에이스는… 거의 2그램 가까이 더 나와."
정상메일,"알려둘게, X가 내일 아침 일찍 차를 타야 해서 오늘 밤 우리 집에서 자."
정상메일,"와, 네가 그렇게 민망해할 줄 몰랐어. 제안해서 미안. 네 방 민망하다고 해서도 미안."
